,Product name,Product price,Number of ratings,Number of reviews,Review Summary,Review Detail
0,Lenovo Legion 5 Pro Intel Core i7 12th Gen 12700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVID...,SGD 2319.84,Number of ratings not available,Number of reviews not available,,
1,Lenovo Lenovo Legion Slim 5 AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Hom...,SGD 1827.04,Number of ratings not available,Number of reviews not available,,
2,Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,SGD 1999.84,28 Ratings , 2 Reviews,"['Review not available', 'Good choice']","['Review detail not available', ""Awesome laptop with a few niggles. The display is crisp and vibrant, the performance is top-notch. Including Windows Office and a 3-year Warranty is the icing on the cake. The niggle I want to mention is the weight (hefty) of the laptop and the charger brick (it's huge, takes a lot of space, and freaking heavy!). Other than that everything else is great.READ MORE""]"
3,Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,SGD 1576.0,88 Ratings , 18 Reviews,"['Review not available', 'Review not available', 'Review not available', 'Review not available', 'Good quality product', 'Highly recommended', 'Worth every penny', 'Classy product', 'Very poor', 'Good choice', 'Wonderful', 'Must buy!', 'Delightful', 'Really Nice', 'Review not available']","['Review detail not available', 'Review detail not available', 'Review detail not available', 'Review detail not available', ""Very powerful gaming machine, but I highly recommend u to use cooling pads, as temperature rise above 100degrees .I was playing uncharted 4 in highest possible settings, I could easily get 60+ fps, but the CPU temp reached 100degrees.Another thing I noticed is the hinges are poor quality,i don't get the robust feel in it, it's been just 1 month and the hinges feel like I have opened and closed it for years and made it looseREAD MORE"", 'its just a beastREAD MORE', ""It's an amazing product. I loved it ... It has better capacity to handle multiple tasking.READ MORE"", 'Value For Money 😁READ MORE', ""After using 12days of this laptop. I'm facing screen shacking issue double pictures viewing issue, while playing videos picture are drifting. video viewing issue like pictures are shacking and half of the screen trend into black color.READ MORE"", 'Excellent product great performance and build quality. I wish they could have packed this device with a 1tb SSD. Otherwise, I am satisfied with this productREAD MORE', 'Great product at this price. I have been an Intel user since long and this is my first AMD laptop. It seriously packs a good punch when it comes to gaming. RTX 3060 with a 165 hz screen and 16GB ram works like a charm. No major heating issues as the fans work well. Have been playing God of War, AC Valhalla on Ultra and it is smooth. Only con I noticed is the sound by Nahimic is pretty low and you have literally put it on full volume. Also storage is 512GB SSD which is a downgrade for laptops...READ MORE', 'Great Laptop with top of the line specs got it for around 84k by exchanging old Dell laptop. If you got editing and graphic designing work and if you use blender and premiere pro just go for it! Really a great machineREAD MORE', 'It is a lovely looking machine  ....but it is too early to say anything about it is performance and hardware.READ MORE', 'This is really good machine for any work but you have any heavy graphic design work or your first priority is for gaming then you should go for this laptop. You will never disappoint about your purchase...👍READ MORE', 'Review detail not available']"
4,Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,SGD 1599.84,8 Ratings , 0 Reviews,['Review not available'],['Review detail not available']
5,Lenovo Legion 5 AMD Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/...,SGD 936.0,10 Ratings , 0 Reviews,['Review not available'],['Review detail not available']
6,Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,SGD 1679.84,61 Ratings , 7 Reviews,"['Review not available', 'Review not available', 'Review not available', 'Absolute rubbish!', 'Mind-blowing purchase', 'Wonderful', 'Awesome', 'Did not meet expectations', 'Delightful', 'Worth the money', 'Review not available']","['Review detail not available', 'Review detail not available', 'Review detail not available', ""1 star rating is for Flipkart's smart upgrade plan under which I bought the Lenovo laptop. I have no issues with the laptop however have issues with the plan. It's utterly a useless plan by Flipkart. Please scrap it and will request users to not subscribe to it.READ MORE"", 'Absolute gemREAD MORE', 'Nice beastREAD MORE', ""One word, Beast! But don't except much on battery!READ MORE"", 'The speaker 🔊 is not workingREAD MORE', 'Awesome LaptopREAD MORE', 'Awesome productREAD MORE', 'Review detail not available']"
7,Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,SGD 1759.84,29 Ratings , 3 Reviews,"['Review not available', 'Highly recommended']","['Review detail not available', 'Osm product... Beast performanceREAD MORE']"
8,Lenovo Legion 7i Intel Core i7 10th Gen 10875H - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA ...,SGD 3091.06,4 Ratings , 0 Reviews,['Review not available'],['Review detail not available']
9,Lenovo Lenovo Legion Slim 5 AI Powered AMD Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Hom...,SGD 2095.84,Number of ratings not available,Number of reviews not available,,
