job_type,job_name,company_name,posted,link
Full-time,Data Analyst - Honkai Star Rail,HoYoverse,4 days ago,https://www.linkedin.com/jobs/view/3693536674/?eBP=CwEAAAGLih9tNQK3P9bDjcAWBu8_udf98JztOzfre31H3OEUS9r4qOy57s4srcPGjrftvP9osHRD5j0QPhgX1-D2jJtoauLJaYOgFbsz9ntnFAS30zEtQS5O8ytKLyxQagKp3hhhZ36IvwjMW52rPvlVo_pfV4R7Beg6xpkmhzpuwSn6Y8w49ADhWE-dGKLgwL5wA_RP4QQpmt0NU0miqrheSd1qmnADtqdr_OMUs2BXjFW0Pat8KFQKMhT05JbhNoaannnwBr_4MCxqOnQuFdp3sojcqF4aA5djy1yy-jW6ypKwHT0eOsubHxCePj_uSyNnk24t016wgRK_RLQ823U6cqJ7R3iuEwmd7xJekRtA8yiaSSzytejGoWvwWAWJeZfFt7V_MmlX&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=IXXMqY4FBcLYMvHN%2Ftxz%2BA%3D%3D&trk=flagship3_search_srp_jobs
Internship,"Fraud Data Analyst Intern - Trust and Safety, Regional Operations (Spring 2024)",Shopee,1 week ago,https://www.linkedin.com/jobs/view/3611210025/?eBP=CwEAAAGLih9tNc9Y6mrSQ7JTTSzeiaKgzBW9piFGG-aLj3F8YKj9if5K39_3zkE6rxVGn7MyBy6dX29ufeHVfe_c0H1OYMvhmDdyUkh2Pcb6BAvumPHbJBwxx41DOdxjwA3qIwOXTNL3H3XUoTU5qYbA3ARemSfY84Wnqn9ixZ0JYpnlvRIWN08EaviLqmQG8rvXTZb-P9K8-yNNvSIf4yom8qp2A6mxYMqKMTDeGRR3KGdKAC8_toWA2G4VvX11sD_kOFGejylMiK_4M9CL9nkmEu6MI_TsLWrcDbj1UZO6Co7c8VzjZc_iTQ4_N2RUOX1wQwwaRQdzlr1TVd2FcvUm9P7tILVhJ8gB2puCkwEo-Q79trmNG2EI5pm5cTfuurrRKoB7BvKt&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=QMP0plSCupPVu0FJeYChGA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Senior Data Analyst,Stealth Mode,Not avaliable,https://www.linkedin.com/jobs/view/3737247458/?eBP=CwEAAAGLih9tNk3WqKnjqYfcTPxOXygGdEUCeEaX6SPhZnlay91mFJ3T11pVWsCUMgKfByw-nVgHBANHzm2BHn6aMIAZH3iYp2EseXTHDdTvJn0un9NkkW5maJ-T7auxMASHCvrGuOo7-l4p692pC8FnHPgASuBkFcKtvE_XeF-qXutRiROqg7fT1NkCZAkhoPg5bq3yeokLhUyifcPO0tdBNPPrqrMBh6ga-Soo1-Veypz64TEw66-YeeMnoUyJF32BRPF5aF1jlhhEj8g3mE_sai9P5pvNTLXOvX8FpzdbiheEjz3fHuhleNC9RGKlbEst-ohQaRLDpJtaEIHpdWce6VdnJ9zIzXNL-ab09SWKKZrffURtRY1_bUAOWMasR_hBJQhuVtf3X18&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=9Nv0CycJtlFldNUig6uHmw%3D%3D&trk=flagship3_search_srp_jobs
Mid-Senior level,Data Analyst - Space Systems and Analytics,ByteDance,1 week ago,https://www.linkedin.com/jobs/view/3659055871/?eBP=CwEAAAGLih9tNj9O6RwIyt98mZ_bnHo0mpQLOLSL1f3HWZKjC7ifECXqYegcxz1MHsQyqBpBAIRqLQvCNsrfJmD7JaTpSgHGck1Stml0ZJcFnSjvizCCOOxE0r7sruQ4KgDi6Sxu9rqHS9GJ8CJiRRpn_5wcrajffz01HV7FoOpIXYrjfsco5SPioH5dqvHFOrfsUC6QfA6I3KsHwoxp72wQGa_x5I5jhSLHcoHgkMMYC22YeSbTh4PE-Jms7uyxL4ysrN5BJfcDcgakVoFdZGI_RVI-iQXar98yCl-hzXmOeeqg8yKNrQNjTRSGhbBHOTLW3E6Mkry2x-YYCb12i6CmpJrVMK3FJg2vkOuxbATtG_dMnP8w21AyQmXdDeqfOW0qPAoRbbXdN64&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=%2FmyPd8qSNdnF6%2BdgquOBKw%3D%3D&trk=flagship3_search_srp_jobs
Internship,Data Analyst & BI Intern,Munich Re,Not avaliable,https://www.linkedin.com/jobs/view/3742394154/?eBP=JOB_SEARCH_ORGANIC&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=Dk4LS0GfAIDjjyz1ekvfgg%3D%3D&trk=flagship3_search_srp_jobs
Not avaliable,Data Defense Operations Analyst - DP (Singapore),TikTok,2 weeks ago,https://www.linkedin.com/jobs/view/3651831204/?eBP=CwEAAAGLih9tNqZFLHZEMdRZgJXthWM_VYs8MvRGjNnB8sQlYatQkcM3BgnoCnXy3LiHxVeUhazCQuXBpnhXfwPxZVwLefcgNu97lApPloqzOUM0SJpjRUAKAOzLsdObtK1cvfONKssrwq4hw5qDUGU-7fH3kwBEEFg1VWD9x6gh0getvv-oxRUYshva8UiiSCQb409DqH4dT1PKFvpa3rZLL72FgPvPG2uLLV7SDZhOoe22dfuGvxWPUJCgr1NYpkTkKmBtN_HzGfP1VfjlIDwzKX-6SHnbjTUzMg4AJQiPzlLGgBg1ihtQs17V4TNYmw5a4M-x-jHLmEkc9jfnuAUu8fgSUsadSg25VBjPMQOWtntDhkmqJdg5sS0H200VTqJ_EAPXfYfDQLg&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=7DxvZ6Gf1CzeE9WPFTUKOw%3D%3D&trk=flagship3_search_srp_jobs
Full-time,Risk Data Analyst - SeaMoney Credit,SeaMoney,1 week ago,https://www.linkedin.com/jobs/view/3611209108/?eBP=CwEAAAGLih9tNqCtv0VY95yYRoe-RDCbxqBYhPsiOwOfQM6rFP3ZG3j3vsab0nIs7KktC8Yh3UvQfVcn1oWoVbcTG62KRbMfkDSPs-yQWXXAg_65DRXRfuUHKw4jI31hsOejt8qdu8h6xDsbh6CyiJNaWPh-7ieIBC3dgk4SV0e8O25a-jHDZOv1Onvl1OTOTw3cUH0k5rdCGb2PeWSgO9MzYNYcjZ9LDDkf0pBia2hl6SOXOVe_-IEozbtEKlSAT6hh1Csu_2DCgputaQCTpEfBS1UkmWmId2vFJd5d2j7t3BgTRvkkpKItvuHVBEkMnNoKQ4Z8eAfP2avjmAuxtAbQIrRd4jzgOfy_W-LXRnXnmU5hiUg7kc1oqePHJO4jdYBPF62aBOPO--U&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=xKwAHrKZJrMYql26qyh08Q%3D%3D&trk=flagship3_search_srp_jobs
Contract,Data Analyst (Measurement & Insights),Ad Astra Consultants ,Not avaliable,https://www.linkedin.com/jobs/view/3747122470/?eBP=CwEAAAGLih9tNrxae4mImkpkfg_WZon_zkIOlNBWhKh3LsdmnEtcEieF5jfxaNGZaqSXz28RzBK4jNsS1ZWwPvLGQNxyZn5Ds9Yl79sL_9Yhz5QegbJACz4LbR8c-bcb93YPV-5Zfnlh_ynQihPnDpZ15HO3iidzmRgZSc3wrbZxFg4p_b_BNi0qkJUiq4iYV7e8LrqMCO43UdW2sL86QV6GIrmKUIKdws9pKMFLSWjNibFmsRFO8UMEWxTRwaoSiHBpqHRQ_BxNkfn1l2sJfXSim4O1y2sbpQ_g0rWNmScQ0yo8sBIyPuNwnyMvdYH3QyQ4eWyOoazpimCJ3KUKi9gE-8fRXE8eq4ibHaIFIRYfl86sGDdja9I8Z65MZRaZH7u8_CWbkQ&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=2iSqfQ3DJyudyQ%2FVE1rFVA%3D%3D&trk=flagship3_search_srp_jobs
Full-time,"Data Analyst, Advanced Operations Solutions",AIA Singapore,3 days ago,https://www.linkedin.com/jobs/view/3703550531/?eBP=CwEAAAGLih9tNgnsLl3zT7Soke9yvSJPaPluE4WTymdzvkK5D4j-QAPOdO2WkK4Xog_IeRkvdawIRtbSYYmtYeiMRDnZK863_jCJpSSls64aQBodtN-equxB-VI-mOWWk8GaeEj1WPHvLvZ8XcQFdi3k2KZa0AXXnIhuj8acF1tsuWRbax3aA6hlEJk5PUEFKs43ma9tbti6llWPDYJ9skle74rQp7Kc0Pm3gGZGMZpDZ77Dh75WnnYW2LBGnWqGaDTsFzEZ5Q_Naq_uJf14IDW_jEC0sPLwFbZKcykVi46rMyyl2_GER9YRGMTwaH17OTUDW23lP1dtuoaRJmarcT0WgEPGvd2PE2JlYGiI1JYjJs5OGDWBKVtAjDi8WPmEgnxqjZotliUz&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=FX7HnQiAzBLfIFFo8pzGTg%3D%3D&trk=flagship3_search_srp_jobs
Mid-Senior level,"Data Analyst/ Senior Data Analyst (Bangkok Based, Relocation Support Provided)",Agoda,Not avaliable,https://www.linkedin.com/jobs/view/3748495109/?eBP=CwEAAAGLih9tNvFtE64se63UNiKIedkkuVTPZ5sgkN_bDxznV4JjdNd_8cIQ6EpdWZdkpLE5prKB2_lIYdRhACDrKjVTGBzthEnF5eRJipUn8yFmuAZYreSrgPYLaC3nfUDzouSqcYdP610nh5cNjVscg2SW0zJtJyooUf5Oa7ghNMhlaxReXHgT5feCZFhGPLobofKbRxJQOU43BkHKP0A9e-JZzKbNPIi7eXHAcXE719lfIAjXB4sfcOY_qMTJanTnQh-GyRts_vmHporWcwRnItYwyTmN39ijnWP1tOzNxSOX748UFfhrggP_-6LL-KcfotflcYEuMqDcawF_MwGuW72WzZiRUv0yIppeTl0xfHl0X6F1LRlp7diNGSTrpjLIF3QjJw&refId=SW0yYumtHRLv4%2Bxlhg3iKg%3D%3D&trackingId=HeK931%2BkVV7c3eItfLIU5w%3D%3D&trk=flagship3_search_srp_jobs
